07139S052,03/09/2010 00:03:15,5,0
07139S052,03/09/2010 00:03:20,5,0
07139S052,03/09/2010 00:03:25,5,0
07139S052,03/09/2010 00:03:30,5,0
07139S052,03/09/2010 00:03:35,5,0
07139S052,03/09/2010 00:03:40,5,0
07139S052,03/09/2010 00:03:45,5,28
07139S052,03/09/2010 00:03:50,5,65
07139S052,03/09/2010 00:03:55,5,66
07139S052,03/09/2010 00:04:00,5,65
07139S052,03/09/2010 00:04:05,5,37
07139S052,03/09/2010 00:04:10,5,0
07139S052,03/09/2010 00:04:15,5,0
07139S052,03/09/2010 00:04:20,5,0
07139S052,03/09/2010 00:04:25,5,12
07139S052,03/09/2010 00:04:30,5,12
07139S052,03/09/2010 00:04:35,5,4
07139S052,03/09/2010 00:04:40,5,0
07139S052,03/09/2010 00:04:45,5,0
07139S052,03/09/2010 00:04:50,5,0
07139S052,03/09/2010 00:04:55,5,0
07139S052,03/09/2010 00:05:00,5,0
07139S052,03/09/2010 00:05:05,5,0
07139S052,03/09/2010 00:05:10,5,0
07139S052,03/09/2010 00:05:15,5,0
07139S052,03/09/2010 00:05:20,5,0
07139S052,03/09/2010 00:05:25,5,0
07139S052,03/09/2010 00:05:30,5,13
07139S052,03/09/2010 00:05:35,5,14
07139S052,03/09/2010 00:05:40,5,9
07139S052,03/09/2010 00:05:45,5,15
07139S052,03/09/2010 00:05:50,5,21
07139S052,03/09/2010 00:05:55,5,22
07139S052,03/09/2010 00:06:00,5,22
07139S052,03/09/2010 00:06:05,5,19
07139S052,03/09/2010 00:06:10,5,2
07139S052,03/09/2010 00:06:15,5,0
07139S052,03/09/2010 00:06:20,5,0
